"ID","session","trial","condition","correct"
"1","1",1,"SpaceSemTime",1
"1","1",2,"SpaceTime",0.666666666666667
"1","1",3,"Control",0.777777777777778
"1","1",4,"SpaceSem",1
"1","1",5,"TimeSem",1
"1","1",6,"Control",0.666666666666667
"1","1",7,"TimeSem",0.777777777777778
"1","1",8,"SpaceSemTime",1
"1","1",9,"SpaceSem",0.777777777777778
"1","1",10,"SpaceTime",1
"1","1",11,"TimeSem",1
"1","1",12,"SpaceSemTime",1
"1","1",13,"Control",0.666666666666667
"1","1",14,"SpaceTime",1
"1","1",15,"SpaceSem",0.666666666666667
"1","1",16,"TimeSem",0.777777777777778
"1","1",17,"Control",1
"1","1",18,"SpaceTime",0.777777777777778
"1","1",19,"SpaceSemTime",1
"1","1",20,"SpaceSem",0.666666666666667
"1","1",21,"SpaceTime",1
"1","1",22,"SpaceSemTime",0.777777777777778
"1","1",23,"TimeSem",0.666666666666667
"1","1",24,"SpaceSem",1
"1","1",25,"Control",0.777777777777778
"1","1",26,"SpaceSem",1
"1","1",27,"Control",0.666666666666667
"1","1",28,"TimeSem",0.777777777777778
"1","1",29,"SpaceTime",0.777777777777778
"1","1",30,"SpaceSemTime",0.555555555555556
"2","1",1,"SpaceSem",0.777777777777778
"2","1",2,"SpaceTime",0.555555555555556
"2","1",3,"TimeSem",0.222222222222222
"2","1",4,"Control",1
"2","1",5,"SpaceSemTime",0.222222222222222
"2","1",6,"Control",1
"2","1",7,"SpaceTime",1
"2","1",8,"TimeSem",1
"2","1",9,"SpaceSemTime",0.777777777777778
"2","1",10,"SpaceSem",0.777777777777778
"2","1",11,"TimeSem",0.777777777777778
"2","1",12,"SpaceSemTime",1
"2","1",13,"Control",0.555555555555556
"2","1",14,"SpaceSem",0.777777777777778
"2","1",15,"SpaceTime",0.444444444444444
"2","1",16,"TimeSem",0.777777777777778
"2","1",17,"SpaceTime",1
"2","1",18,"SpaceSemTime",1
"2","1",19,"SpaceSem",0.555555555555556
"2","1",20,"Control",0.222222222222222
"2","1",21,"TimeSem",0.444444444444444
"2","1",22,"SpaceSem",0.555555555555556
"2","1",23,"Control",1
"2","1",24,"SpaceSemTime",1
"2","1",25,"SpaceTime",0.777777777777778
"2","1",26,"TimeSem",0.777777777777778
"2","1",27,"SpaceSem",0.444444444444444
"2","1",28,"SpaceSemTime",1
"2","1",29,"Control",0.555555555555556
"2","1",30,"SpaceTime",0.444444444444444
